onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,source,min_education
13-2011.00,Accountants and Auditors,Finance,Commerce,C,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making, Writing",onet,Bachelor's or equivalent
27-2011.00,Actors,Creative Arts,Arts,A,S,"Reading Comprehension, Speaking, Active Listening, Social Perceptiveness, Critical Thinking, Monitoring",onet,Bachelor's or equivalent
15-2011.00,Actuaries,Technology,Science,C,I,"Critical Thinking, Judgment and Decision Making, Mathematics, Reading Comprehension, Active Listening, Complex Problem Solving",onet,Bachelor's or equivalent
29-1291.00,Acupuncturists,Healthcare,Science,S,I,"Active Listening, Critical Thinking, Service Orientation, Social Perceptiveness, Speaking, Judgment and Decision Making",onet,Bachelor's or equivalent
29-1141.01,Acute Care Nurses,Healthcare,Science,S,I,"Critical Thinking, Reading Comprehension, Service Orientation, Speaking, Active Learning, Active Listening",onet,Bachelor's or equivalent
25-2059.01,Adapted Physical Education Specialists,Education,Arts,S,C,"Instructing, Active Learning, Active Listening, Social Perceptiveness, Speaking, Critical Thinking",onet,Bachelor's or equivalent
51-9191.00,Adhesive Bonding Machine Operators and Tenders,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Monitoring, Quality Control Analysis, Speaking",onet,Bachelor's or equivalent
11-3012.00,Administrative Services Managers,Management,Commerce,E,C,"Active Listening, Reading Comprehension, Time Management, Speaking, Coordination, Critical Thinking",onet,Bachelor's or equivalent
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education,Arts,S,A,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking, Monitoring",onet,Bachelor's or equivalent
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare,Science,S,I,"Active Listening, Social Perceptiveness, Speaking, Critical Thinking, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
11-2011.00,Advertising and Promotions Managers,Management,Commerce,E,C,"Active Listening, Critical Thinking, Social Perceptiveness, Speaking, Judgment and Decision Making, Reading Comprehension",onet,Bachelor's or equivalent
41-3011.00,Advertising Sales Agents,Sales,Commerce,E,C,"Speaking, Persuasion, Service Orientation, Social Perceptiveness, Active Listening, Negotiation",onet,Bachelor's or equivalent
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Engineering,Science,R,C,"Critical Thinking, Operations Monitoring, Quality Control Analysis, Reading Comprehension, Active Listening, Speaking",onet,Bachelor's or equivalent
17-2011.00,Aerospace Engineers,Engineering,Science,I,R,"Critical Thinking, Reading Comprehension, Science, Active Listening, Complex Problem Solving, Mathematics",onet,Bachelor's or equivalent
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Finance,Commerce,E,S,"Active Listening, Negotiation, Persuasion, Reading Comprehension, Speaking, Social Perceptiveness",onet,Bachelor's or equivalent
17-2021.00,Agricultural Engineers,Engineering,Science,R,I,"Active Listening, Reading Comprehension, Speaking, Writing, Complex Problem Solving, Critical Thinking",onet,Bachelor's or equivalent
45-2091.00,Agricultural Equipment Operators,Agriculture,Science,R,C,"Operation and Control, Operations Monitoring, Troubleshooting, Active Listening, Equipment Maintenance, Quality Control Analysis",onet,Bachelor's or equivalent
