nco_id,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,source,min_education
IND-GOV-001,IAS Officer (Indian Administrative Service),Government & Civil Services,Arts,E,S,"Public Administration, Policy Making, Leadership, Report Writing, Decision Making, People Management",UPSC,Bachelor's + UPSC CSE
IND-GOV-002,IPS Officer (Indian Police Service),Government & Civil Services,Arts,E,R,"Law Enforcement, Investigation, Leadership, Crisis Management, Law Knowledge, Physical Fitness",UPSC,Bachelor's + UPSC CSE
IND-GOV-003,IFS Officer (Indian Foreign Service),Government & Civil Services,Arts,E,S,"Diplomacy, International Relations, Foreign Languages, Negotiation, Report Writing, Protocol",UPSC,Bachelor's + UPSC CSE
IND-GOV-004,IRS Officer (Indian Revenue Service),Government Revenue,Commerce,C,E,"Taxation, GST, Income Tax Law, Investigation, Audit, Financial Analysis",UPSC,Bachelor's + UPSC CSE
IND-GOV-005,IRMS Officer (Indian Railway Management Service),Government & Civil Services,Science,E,R,"Railway Operations, Engineering Management, Logistics, Budget Management, Project Planning, Leadership",UPSC,Bachelor's + UPSC ESE or CSE
IND-GOV-006,State PSC Officer,Government & Civil Services,Arts,E,C,"Public Administration, State Law, Report Writing, Revenue Management, District Management, Communication",State PSC,Bachelor's + State PSC Exam
IND-GOV-007,Sub-Divisional Magistrate (SDM),Government & Civil Services,Arts,E,C,"Revenue Law, Land Records, Judicial Functions, Public Grievances, District Administration, Report Writing",State PSC,Bachelor's + State PCS
IND-GOV-008,Defence Officer (Army/Navy/Air Force),Defence,Science,R,E,"Leadership, Physical Fitness, Tactical Planning, Team Management, Weapons Handling, Strategic Thinking",UPSC NDA/CDS,10+2 for NDA / Bachelor's for CDS
IND-BNK-001,Bank Probationary Officer (Bank PO),Banking,Commerce,C,E,"Banking Operations, Credit Appraisal, Customer Service, Financial Products, IBPS Exam, MS Excel",IBPS/SBI,Bachelor's + IBPS PO or SBI PO
IND-BNK-002,RBI Grade B Officer,Banking,Commerce,I,C,"Monetary Policy, Banking Regulation, Economic Research, Financial Stability, Report Writing, Data Analysis",RBI,Bachelor's + RBI Grade B Exam
IND-BNK-003,SEBI Grade A Officer,Finance,Commerce,I,C,"Securities Law, Market Regulation, Financial Analysis, Investigation, Policy Drafting, Economics",SEBI,Bachelor's + SEBI Grade A Exam
IND-BNK-004,NABARD Development Officer,Agriculture Finance,Science,S,I,"Rural Finance, Agricultural Credit, Development Banking, Field Assessment, Report Writing, Economics",NABARD,Bachelor's + NABARD Exam
IND-PRO-001,Chartered Accountant (CA),Finance & Audit,Commerce,C,I,"Auditing, Taxation, GST, Financial Reporting, ICAI Standards, Corporate Law, Tally",ICAI,ICAI CA Foundation → Intermediate → Final
IND-PRO-002,Company Secretary (CS),Corporate Law,Commerce,C,E,"Corporate Governance, Companies Act, Secretarial Practice, ROC Filing, Board Meetings, Legal Drafting",ICSI,ICSI CS Foundation → Executive → Professional
IND-PRO-003,Cost and Management Accountant (CMA),Finance & Cost Management,Commerce,C,I,"Cost Accounting, Management Accounting, Budgeting, Cost Audit, ICMAI Standards, Financial Analysis",ICMAI,ICMAI CMA Foundation → Intermediate → Final
IND-PRO-004,Actuarial Analyst,Insurance & Risk,Science,I,C,"Actuarial Mathematics, Statistics, Risk Modelling, Life Tables, Insurance Pricing, IAI Exams",IAI (Institute of Actuaries of India),Bachelor's in Maths/Statistics + IAI Exams
IND-PRO-005,SEBI Registered Research Analyst,Capital Markets,Commerce,I,C,"Equity Research, Financial Modelling, SEBI Regulations, Report Writing, Bloomberg, Valuation",SEBI/NISM,Bachelor's + NISM Research Analyst Certification
IND-MED-001,Ayurvedic Doctor (BAMS),Healthcare,Science,S,I,"Ayurvedic Medicine, Panchakarma, Pulse Diagnosis, Herbal Formulations, Patient Care, Nidan Chikitsa",CCIM / NMC,BAMS (5.5 years) + NEET
IND-MED-002,Homeopathic Doctor (BHMS),Healthcare,Science,S,I,"Homeopathic Materia Medica, Case Taking, Repertorization, Patient Management, Clinical Diagnosis, Pharmacy",CCH / NMC,BHMS (5.5 years) + NEET
IND-MED-003,Yoga and Naturopathy Practitioner (BNYS),Healthcare,Science,S,R,"Yoga Therapy, Naturopathic Treatment, Nutrition, Hydrotherapy, Patient Assessment, Wellness Counselling",CCRYN / MoAYUSH,BNYS (5.5 years)
IND-MED-004,Unani Practitioner (BUMS),Healthcare,Science,S,I,"Unani Medicine, Ilaj-bil-Tadbeer, Herbal Drugs, Patient Examination, Mizaj Assessment, Clinical Practice",CCUM / NMC,BUMS (5.5 years) + NEET
IND-MED-005,Siddha Practitioner (BSMS),Healthcare,Science,S,I,"Siddha Medicine, Nadi Pariksha, Tamil Herbal Knowledge, Patient Care, Gunapadam, Clinical Procedures",CCRS / NMC,BSMS (5.5 years) + NEET
IND-MED-006,Medical Officer (Government Hospital),Government Healthcare,Science,S,I,"Clinical Medicine, Emergency Care, Public Health, Medical Records, NHM Guidelines, Community Health",State Health Services / NHM,MBBS + State Medical Services Exam
IND-LEG-001,Advocate (Bar Council of India),Legal Services,Arts,E,I,"Legal Drafting, Court Advocacy, CPC/CrPC, Constitutional Law, Client Counselling, Research",Bar Council of India,LLB (3 or 5 years) + BCI Enrollment
IND-LEG-002,Judicial Services Officer (Civil Judge),Judiciary,Arts,I,C,"Judicial Decision Making, Evidence Act, IPC, CPC, Legal Research, Judgment Writing",State PSC (Judicial),LLB + State Judicial Services Exam
IND-LEG-003,Public Prosecutor,Government Legal,Arts,E,I,"Criminal Law, Trial Advocacy, Evidence Handling, CrPC, IPC, Government Litigation",State Government / High Court,LLB + State PP Recruitment
IND-EDU-001,UGC NET Qualified Lecturer / Assistant Professor,Higher Education,Arts,S,I,"Subject Expertise, Curriculum Design, Research, Academic Writing, UGC Regulations, Mentoring",UGC / NTA,Master's + UGC NET/JRF
IND-EDU-002,Kendriya Vidyalaya / Navodaya Teacher,Government Education,Arts,S,C,"Subject Teaching, Lesson Planning, CBSE Curriculum, Student Assessment, Classroom Management, Documentation",KVS / NVS Recruitment,Bachelor's + B.Ed + CTET
IND-EDU-003,CTET/TET Qualified Primary Teacher,Education,Arts,S,A,"Primary Education, Child Psychology, NCF 2005, Activity-Based Learning, Communication, Assessment",CBSE / State Boards (CTET/TET),Bachelor's + D.El.Ed or B.Ed + CTET
